Date,Return,Year,Month,Day,Business_Month_End,DX_to_Prev,DX_to_Curr,DX_Class,Non_Focus_Returns,Focus_Returns,Log_Cum_All_Returns,Log_Cum_Focus_Returns,Log_Cum_Non_Focus_Returns
20181231.0,0.0025463511597285,2018,12,31,1,-21,0,0,0.0,0.0025463511597285,0.0011044606812992,0.0011044606812992,0.0
20190102.0,0.0024496542254201,2019,1,2,0,-2,21,-2,0.0,0.0024496542254201,0.0021670310596683,0.0021670310596683,0.0
20190103.0,0.008700955267086,2019,1,3,0,-3,20,-3,0.008700955267086,0.0,0.0059294631767294,0.0021670310596683,0.0037624321170612
20190104.0,-0.0097148738891456,2019,1,4,0,-4,19,-4,-0.0097148738891456,0.0,0.0016897192574097,0.0021670310596683,-0.0004773118022584
20190107.0,-0.0026387489536372,2019,1,7,0,-5,18,-5,-0.0026387489536372,0.0,0.0005422104872122,0.0021670310596683,-0.0016248205724559
20190108.0,-0.0027366216866217,2019,1,8,0,-6,17,-6,-0.0027366216866217,0.0,-0.000647918420401,0.0021670310596683,-0.0028149494800692
20190109.0,-0.0009183901054338,2019,1,9,0,-7,16,-7,-0.0009183901054338,0.0,-0.0010469534383913,0.0021670310596683,-0.0032139844980595
20190110.0,-9.642857142857145e-05,2019,1,10,0,-8,15,-8,-9.642857142857145e-05,0.0,-0.0010888338541273,0.0021670310596683,-0.0032558649137955
20190111.0,0.0024604155523958,2019,1,11,0,-9,14,-8,0.0024604155523958,0.0,-2.1601336549224225e-05,0.0021670310596683,-0.0021886323962174
20190114.0,-9.722222222222224e-05,2019,1,14,0,-10,13,-8,-9.722222222222224e-05,0.0,-6.382646382228617e-05,0.0021670310596683,-0.0022308575234904
20190115.0,-0.0009169690115472,2019,1,15,0,-11,12,-8,-0.0009169690115472,0.0,-0.0004622437416919,0.0021670310596683,-0.00262927480136
20190116.0,-0.0010080055996875,2019,1,16,0,-12,11,8,-0.0010080055996875,0.0,-0.000900235797691,0.0021670310596683,-0.0030672668573592
20190117.0,-0.0018296083883675,2019,1,17,0,-13,10,8,-0.0018296083883675,0.0,-0.001695552405833,0.0021670310596683,-0.0038625834655012
20190118.0,-0.003568809219145,2019,1,18,0,-14,9,8,-0.003568809219145,0.0,-0.0032482388283996,0.0021670310596683,-0.0054152698880678
20190122.0,0.0043060294676432,2019,1,22,0,-16,7,7,0.0043060294676432,0.0,-0.0013821687907937,0.0021670310596683,-0.0035491998504619
20190123.0,-0.001921952151938,2019,1,23,0,-17,6,6,-0.001921952151938,0.0,-0.0022176651543135,0.0021670310596683,-0.0043846962139817
20190124.0,0.0034737869797996,2019,1,24,0,-18,5,5,0.0034737869797996,0.0,-0.0007116329433811,0.0021670310596683,-0.0028786640030493
20190125.0,-0.0036499916800509,2019,1,25,0,-19,4,4,-0.0036499916800509,0.0,-0.0022997041787251,0.0021670310596683,-0.0044667352383933
20190128.0,0.000818797638288,2019,1,28,0,-20,3,3,0.000818797638288,0.0,-0.0019442503851338,0.0021670310596683,-0.004111281444802
20190129.0,0.0025545486396733,2019,1,29,0,-21,2,2,0.0025545486396733,0.0,-0.0008362386403385,0.0021670310596683,-0.0030032697000067
20190130.0,0.0016359646076601,2019,1,30,0,-22,1,1,0.0016359646076601,0.0,-0.0001263287741475,0.0021670310596683,-0.0022933598338157
20190131.0,0.0060013711763711,2019,1,31,1,-23,0,0,0.0,0.0060013711763711,0.0024722438880333,0.0047656037218491,-0.0022933598338157
20190201.0,-0.0061552959823582,2019,2,1,0,-1,19,-1,0.0,-0.0061552959823582,-0.0002092283115,0.0020841315223157,-0.0022933598338157
20190204.0,-0.0027350343850344,2019,2,4,0,-2,18,-2,0.0,-0.0027350343850344,-0.0013986659716587,0.000894693862157,-0.0022933598338157
20190205.0,0.0016375448963041,2019,2,5,0,-3,17,-3,0.0016375448963041,0.0,-0.0006880709163164,0.000894693862157,-0.0015827647784734
20190206.0,0.0008147980198848,2019,2,6,0,-4,16,-4,0.0008147980198848,0.0,-0.0003343527172973,0.000894693862157,-0.0012290465794544
20190207.0,0.0042719726219725,2019,2,7,0,-5,15,-5,0.0042719726219725,0.0,0.001516989786569,0.000894693862157,0.0006222959244119
20190208.0,0.0016250537154246,2019,2,8,0,-6,14,-6,0.0016250537154246,0.0,0.0022221688261255,0.000894693862157,0.0013274749639685
20190211.0,-0.0018157461006592,2019,2,11,0,-7,13,-7,-0.0018157461006592,0.0,0.0014328835261701,0.000894693862157,0.0005381896640131
20190212.0,-0.0027239541671521,2019,2,12,0,-8,12,-8,-0.0027239541671521,0.0,0.0002482711139828,0.000894693862157,-0.0006464227481741
20190213.0,-0.0027312730712439,2019,2,13,0,-9,11,-8,-0.0027312730712439,0.0,-0.0009395285514604,0.000894693862157,-0.0018342224136174
20190214.0,0.0042755543049718,2019,2,14,0,-10,10,-8,0.0042755543049718,0.0,0.0009133628379976,0.000894693862157,1.8668975840628957e-05
20190215.0,-9.642857142857145e-05,2019,2,15,0,-11,9,8,-9.642857142857145e-05,0.0,0.0008714824222616,0.000894693862157,-2.3211439895409695e-05
20190219.0,0.0008096427455841,2019,2,19,0,-13,7,7,0.0008096427455841,0.0,0.0012229635311093,0.000894693862157,0.0003282696689522
20190220.0,-9.722222222222224e-05,2019,2,20,0,-14,6,6,-9.722222222222224e-05,0.0,0.0011807384038362,0.000894693862157,0.0002860445416791
20190221.0,-0.0036307911268158,2019,2,21,0,-15,5,5,-0.0036307911268158,0.0,-0.0003989636701649,0.000894693862157,-0.0012936575323221
20190222.0,0.0033575546203205,2019,2,22,0,-16,4,4,0.0033575546203205,0.0,0.0010567613013394,0.000894693862157,0.0001620674391821
20190225.0,-0.0018196541477531,2019,2,25,0,-17,3,3,-0.0018196541477531,0.0,0.0002657756673988,0.000894693862157,-0.0006289181947583
20190226.0,0.0025350733210289,2019,2,26,0,-18,2,2,0.0025350733210289,0.0,0.0013653508582085,0.000894693862157,0.0004706569960512
20190227.0,-0.0044426866437321,2019,2,27,0,-19,1,1,-0.0044426866437321,0.0,-0.0005683821084686,0.000894693862157,-0.0014630759706259
20190228.0,-0.0035523958901619,2019,2,28,1,-20,0,0,0.0,-0.0035523958901619,-0.0021139148413824,-0.0006508388707566,-0.0014630759706259
20190301.0,-0.0027428107982851,2019,3,1,0,-1,20,-1,0.0,-0.0027428107982851,-0.0033067390303451,-0.0018436630597193,-0.0014630759706259
20190304.0,0.0033787326127962,2019,3,4,0,-2,19,-2,0.0,0.0033787326127962,-0.0018418474480321,-0.0003787714774063,-0.0014630759706259
20190305.0,-9.761904761904762e-05,2019,3,5,0,-3,18,-3,-9.761904761904762e-05,0.0,-0.0018842449311763,-0.0003787714774063,-0.0015054734537702
20190306.0,0.0025457985129811,2019,3,6,0,-4,17,-4,0.0025457985129811,0.0,-0.0007800236517748,-0.0003787714774063,-0.0004012521743686
20190307.0,0.0042672076741225,2019,3,7,0,-5,16,-5,0.0042672076741225,0.0,0.0010692582594198,-0.0003787714774063,0.0014480297368259
20190308.0,0.0016224606192286,2019,3,8,0,-6,15,-6,0.0016224606192286,0.0,0.0017733129572654,-0.0003787714774063,0.0021520844346715
20190311.0,-0.001814745120823,2019,3,11,0,-7,14,-7,-0.001814745120823,0.0,0.000984463167888,-0.0003787714774063,0.0013632346452941
20190312.0,0.0025277657070434,2019,3,12,0,-8,13,-8,0.0025277657070434,0.0,0.002080872715838,-0.0003787714774063,0.0024596441932441
20190313.0,-9.722222222222224e-05,2019,3,13,0,-9,12,-8,-9.722222222222224e-05,0.0,0.002038647588565,-0.0003787714774063,0.002417419065971
20190314.0,-0.0018127978429897,2019,3,14,0,-10,11,-8,-0.0018127978429897,0.0,0.0012506450278846,-0.0003787714774063,0.0016294165052906
20190315.0,0.0033398255346519,2019,3,15,0,-11,10,8,0.0033398255346519,0.0,0.0026986960529818,-0.0003787714774063,0.0030774675303879
20190318.0,-0.0009080747207843,2019,3,18,0,-12,9,8,-0.0009080747207843,0.0,0.0023041450445664,-0.0003787714774063,0.0026829165219724
20190319.0,-0.0009997390295765,2019,3,19,0,-13,8,8,-0.0009997390295765,0.0,0.0018697467220002,-0.0003787714774063,0.0022485181994062
20190320.0,0.0060415421548605,2019,3,20,0,-14,7,7,0.0060415421548605,0.0,0.0044856609967056,-0.0003787714774063,0.0048644324741116
20190321.0,-9.88095238095238e-05,2019,3,21,0,-15,6,6,-9.88095238095238e-05,0.0,0.0044427464455376,-0.0003787714774063,0.0048215179229436
20190322.0,0.0087868824331311,2019,3,22,0,-16,5,5,0.0087868824331311,0.0,0.008242172782226,-0.0003787714774063,0.008620944259632
20190325.0,0.000702950246101,2019,3,25,0,-17,4,4,0.000702950246101,0.0,0.0085473529444875,-0.0003787714774063,0.0089261244218936
20190326.0,0.0016800007195127,2019,3,26,0,-18,3,3,0.0016800007195127,0.0,0.0092763557952263,-0.0003787714774063,0.0096551272726323
20190327.0,0.0016776400454601,2019,3,27,0,-19,2,2,0.0016776400454601,0.0,0.0100043351365389,-0.0003787714774063,0.0103831066139449
20190328.0,-9.642857142857145e-05,2019,3,28,0,-20,1,1,-9.642857142857145e-05,0.0,0.0099624547208029,-0.0003787714774063,0.0103412261982089
20190329.0,-0.0018665603873291,2019,3,29,1,-21,0,0,0.0,-0.0018665603873291,0.0091510603503533,-0.0011901658478559,0.0103412261982089
20190401.0,-0.0071055670684562,2019,4,1,0,-1,21,-1,0.0,-0.0071055670684562,0.0060541360033273,-0.0042870901948818,0.0103412261982089
20190402.0,0.0007974636077924,2019,4,2,0,-2,20,-2,0.0,0.0007974636077924,0.006400332026685,-0.0039408941715241,0.0103412261982089
20190403.0,-0.0035783465537616,2019,4,3,0,-3,19,-3,-0.0035783465537616,0.0,0.0048434887374355,-0.0039408941715241,0.0087843829089594
20190404.0,0.0007094094862705,2019,4,4,0,-4,18,-4,0.0007094094862705,0.0,0.0051514721324733,-0.0039408941715241,0.0090923663039972
20190405.0,0.0007982694832318,2019,4,5,0,-5,17,-5,0.0007982694832318,0.0,0.0054980178640668,-0.0039408941715241,0.0094389120355908
20190408.0,-0.0017955879346909,2019,4,8,0,-6,16,-6,-0.0017955879346909,0.0,0.0047175029808092,-0.0039408941715241,0.0086583971523332
20190409.0,0.0007102031370642,2019,4,9,0,-7,15,-7,0.0007102031370642,0.0,0.0050258308095261,-0.0039408941715241,0.0089667249810501
20190410.0,0.0025888560687433,2019,4,10,0,-8,14,-8,0.0025888560687433,0.0,0.0061487038625948,-0.0039408941715241,0.0100895980341188
20190411.0,-0.0027745217690717,2019,4,11,0,-9,13,-8,-0.0027745217690717,0.0,0.00494206967683,-0.0039408941715241,0.0088829638483539
20190412.0,-0.004482790309106,2019,4,12,0,-10,12,-8,-0.004482790309106,0.0,0.0029908418345198,-0.0039408941715241,0.0069317360060437
20190415.0,0.00080260945788,2019,4,15,0,-11,11,-8,0.00080260945788,0.0,0.0033392708856712,-0.0039408941715241,0.0072801650571952
20190416.0,-0.0044977579525477,2019,4,16,0,-12,10,8,-0.0044977579525477,0.0,0.0013815133583313,-0.0039408941715241,0.0053224075298553
20190417.0,0.0008053759745206,2019,4,17,0,-13,9,8,0.0008053759745206,0.0,0.0017311429271865,-0.0039408941715241,0.0056720370987105
20190418.0,0.0017067445294324,2019,4,18,0,-14,8,8,0.0017067445294324,0.0,0.0024717408322516,-0.0039408941715241,0.0064126350037756
20190422.0,-0.0018963575184738,2019,4,22,0,-16,6,6,-0.0018963575184738,0.0,0.0016473813388216,-0.0039408941715241,0.0055882755103456
20190423.0,0.0017055540532419,2019,4,23,0,-17,5,5,0.0017055540532419,0.0,0.0023874631072525,-0.0039408941715241,0.0063283572787764
20190424.0,0.0034122622403889,2019,4,24,0,-18,4,4,0.0034122622403889,0.0,0.0038668671448062,-0.0039408941715241,0.0078077613163301
20190425.0,-0.0009930483149952,2019,4,25,0,-19,3,3,-0.0009930483149952,0.0,0.0034353774608117,-0.0039408941715241,0.0073762716323357
20190426.0,0.0025064989907536,2019,4,26,0,-20,2,2,0.0025064989907536,0.0,0.0045225741811349,-0.0039408941715241,0.0084634683526589
20190429.0,-0.0026926005489914,2019,4,29,0,-21,1,1,-0.0026926005489914,0.0,0.0033516154502596,-0.0039408941715241,0.0072925096217837
20190430.0,0.0025061021653568,2019,4,30,1,-22,0,0,0.0,0.0025061021653568,0.0044386402623563,-0.0028538693594274,0.0072925096217837
20190501.0,-0.0009915234514858,2019,5,1,0,-1,22,-1,0.0,-0.0009915234514858,0.0040078134759535,-0.0032846961458302,0.0072925096217837
20190502.0,-0.0026961165718153,2019,5,2,0,-2,21,-2,0.0,-0.0026961165718153,0.0028353236303956,-0.0044571859913881,0.0072925096217837
20190503.0,0.0008018019145142,2019,5,3,0,-3,20,-3,0.0008018019145142,0.0,0.0031834022510368,-0.0044571859913881,0.0076405882424249
20190506.0,0.00250570533996,2019,5,6,0,-4,19,-4,0.00250570533996,0.0,0.004270255154839,-0.0044571859913881,0.0087274411462272
20190507.0,0.0051846312209094,2019,5,7,0,-5,18,-5,0.0051846312209094,0.0,0.0065160949769115,-0.0044571859913881,0.0109732809682997
20190508.0,-0.0035689599577699,2019,5,8,0,-6,17,-6,-0.0035689599577699,0.0,0.0049633428549182,-0.0044571859913881,0.0094205288463064
20190509.0,0.0033882033084856,2019,5,9,0,-7,16,-7,0.0033882033084856,0.0,0.0064323336385924,-0.0044571859913881,0.0108895196299806
20190510.0,-0.001788174631441,2019,5,10,0,-8,15,-8,-0.001788174631441,0.0,0.0056550440914483,-0.0044571859913881,0.0101122300828365
20190513.0,0.0060584856644525,2019,5,13,0,-9,14,-8,0.0060584856644525,0.0,0.0082782725877315,-0.0044571859913881,0.0127354585791197
20190514.0,-0.0018685273947063,2019,5,14,0,-10,13,-8,-0.0018685273947063,0.0,0.0074660223584782,-0.0044571859913881,0.0119232083498665
20190515.0,0.004344071264358,2019,5,15,0,-11,12,-8,0.004344071264358,0.0,0.0093485425905615,-0.0044571859913881,0.0138057285819497
20190516.0,-0.0027475234811455,2019,5,16,0,-12,11,8,-0.0027475234811455,0.0,0.0081536660754593,-0.0044571859913881,0.0126108520668475
20190517.0,0.0007916049671944,2019,5,17,0,-13,10,8,0.0007916049671944,0.0,0.0084973197435223,-0.0044571859913881,0.0129545057349105
20190520.0,-0.0018661635619323,2019,5,20,0,-14,9,8,-0.0018661635619323,0.0,0.0076860980344014,-0.0044571859913881,0.0121432840257895
