Date,Return,Year,Month,Day,Business_Month_End,DX_to_Prev,DX_to_Curr,DX_Class,Non_Focus_Returns,Focus_Returns,Log_Cum_All_Returns,Log_Cum_Focus_Returns,Log_Cum_Non_Focus_Returns
19900409.0,-0.0024133737742085,1990,4,9,0,-6,15,-6,-0.0024133737742085,0.0,-0.0286535640976168,-0.0059611882700468,-0.0226923758275699
19900410.0,-0.0008785722051378,1990,4,10,0,-7,14,-7,-0.0008785722051378,0.0,-0.0290352908700929,-0.0059611882700468,-0.023074102600046
19900411.0,-0.0024165528915529,1990,4,11,0,-8,13,-8,-0.0024165528915529,0.0,-0.0300860565835509,-0.0059611882700468,-0.0241248683135041
19900412.0,-0.0008788706466,1990,4,12,0,-9,12,-8,-0.0008788706466,0.0,-0.0304679130814998,-0.0059611882700468,-0.0245067248114529
19900416.0,-0.0029822800849409,1990,4,16,0,-11,10,8,-0.0029822800849409,0.0,-0.0317650360206542,-0.0059611882700468,-0.0258038477506073
19900417.0,-0.0062241626046744,1990,4,17,0,-12,9,8,-0.0062241626046744,0.0,-0.0344766028921312,-0.0059611882700468,-0.0285154146220843
19900418.0,-0.0062612289800408,1990,4,18,0,-13,8,8,-0.0062612289800408,0.0,-0.0372043686103684,-0.0059611882700468,-0.0312431803403215
19900419.0,-0.0008889932334155,1990,4,19,0,-14,7,7,-0.0008889932334155,0.0,-0.0375906251812789,-0.0059611882700468,-0.031629436911232
19900420.0,-0.0055831299490181,1990,4,20,0,-15,6,6,-0.0055831299490181,0.0,-0.0400221417802894,-0.0059611882700468,-0.0340609535102425
19900423.0,-0.0021780585713605,1990,4,23,0,-16,5,5,-0.0021780585713605,0.0,-0.0409690922306305,-0.0059611882700468,-0.0350079039605835
19900424.0,-0.0016091583933064,1990,4,24,0,-17,4,4,-0.0016091583933064,0.0,-0.0416685037243318,-0.0059611882700468,-0.0357073154542849
19900425.0,-0.0010377163595758,1990,4,25,0,-18,3,3,-0.0010377163595758,0.0,-0.0421194122111177,-0.0059611882700468,-0.0361582239410707
